Year,Month,Date Event Begin,Time Event Begin,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
2016,April,04/14/2016,16:49,04/15/2016,20:42,Maryland: Baltimore County,RFC,Suspected Physical Attack,Sabotage,,
2016,April,04/15/2016,10:00,04/15/2016,11:00,Utah: Weber County,WECC,Suspected Physical Attack,Vandalism,,
2016,April,04/18/2016,05:05,04/20/2016,07:55,Texas: Harris County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Unknown,
2016,April,04/27/2016,13:36,Unknown,Unknown,Tennessee,SERC,Suspected Physical Attack,Vandalism,,
2016,April,04/27/2016,05:50,04/28/2016,01:35,Texas: Harris County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Unknown,
2016,April,04/27/2016,18:00,04/27/2016,18:05,Texas: Rusk County,TRE,Suspected Physical Attack,Sabotage,,
2016,May,05/07/2016,07:49,05/07/2016,09:02,New York: Dutchess County;,NPCC,Suspected Physical Attack,Sabotage,,
2016,May,05/08/2016,09:12,Unknown ,Unknown ,Washington: Clark County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Islanding,Unknown,Unknown
2016,May,05/10/2016,20:45,05/13/2016,03:00,"Texas: Dallas County, Tarrant County, Parker County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Distribution Interruption,Unknown,
2016,May,05/14/2016,21:25,05/15/2016,17:24,Missouri:,SERC,Suspected Physical Attack,Sabotage,,
2016,May,05/19/2016,21:36,05/20/2016,01:00,Utah:,WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,System Operations,,
2016,May,05/20/2016,00:00,05/22/2016,05:00,Louisiana:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Distribution Interruption ,Unknown,
2016,May,05/20/2016,01:15,Unknown ,Unknown ,Louisiana:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Unknown,
2016,May,05/24/2016,08:00,Unknown ,Unknown ,Missouri:,SERC,Suspected Physical Attack,Vandalism,,
2016,May,05/26/2016,21:29,05/27/2016,00:40,New York:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Transmission Interruption,,
2016,May,05/31/2016,07:30,06/13/2016,07:27,New York: Tompkins County;,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,,Unknown
2016,June,06/07/2016,12:00,06/07/2016,12:15,Utah,WECC,Suspected Physical Attack,Sabotage ,,
2016,June,06/14/2016,07:59,06/14/2016,08:00,New Jersey,RFC,Suspected Physical Attack,Vandalism,,
2016,June,06/17/2016,15:40,06/18/2016,08:34,"Georgia, Alabama, Mississippi, Florida",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,,
2016,June,06/17/2016,04:30,06/17/2016,04:31,Delaware,RFC,Suspected Physical Attack,Vandalism,,
2016,July,07/02/2016,04:00,07/04/2016,00:40,Oregon: Multnomah County,WECC,Suspected Physical Attack,Actual Physical Event,,
2016,July,07/05/2016,02:45,07/06/2016,03:00,"Texas: Dallas County, Tarrant County",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,July,07/05/2016,17:30,07/06/2016,16:00,"Minnesota, Wisconsin",MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,July,07/07/2016,04:20,07/07/2016,08:00,"Kansas: Johnson County; Missouri: Jackson County, Platte County, Cass County, Buchanan County, Atchison County, Andrew County, Clay County, Nodaway County",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,July,07/07/2016,05:53,07/07/2016,08:40,North Carolina: New Hanover County,SERC,Actual Physical Attack ,Vandalism,,
2016,July,07/08/2016,20:50,07/09/2016,19:25,North Carolina,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,,
2016,July,07/08/2016,19:00,07/09/2016,00:00,"Michigan: Wayne County, Oakland County, Macomb County, St. Clair County, Lapeer County, Tuscola County, Sanilac County, Huron County",RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,July,07/08/2016,18:00,Unknown,Unknown,West Virginia: Virginia,RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,July,07/09/2016,17:45,07/11/2016,14:00,Texas: Dallas County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,July,07/12/2016,14:10,07/12/2016,20:33,Puerto Rico,PR,Voltage Reduction,System Operations,,
2016,July,07/13/2016,13:00,07/13/2016,13:01,Washington,WECC,Suspected Physical Attack,Vandalism,,
2016,July,07/13/2016,15:00,Unknown,Unknown,Tennessee: Shelby County,SERC,Public Appeal,System Operations,Unknown,Unknown
2016,July,07/14/2016,17:30,07/16/2016,20:00,Oklahoma: Arkansas,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,July,07/14/2016,16:30,07/16/2016,00:00,Arkansas: Louisiana: Mississippi: Texas,"SPP, SERC, TRE","Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,July,07/14/2016,14:44,07/15/2016,04:00,Oklahoma,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,July,07/19/2016,15:45,07/19/2016,19:29,Idaho,WECC,"Islanding, Uncontrolled Loss 300+ MW",System Operations,,Unknown
2016,July,07/19/2016,15:45,07/19/2016,19:25,Idaho,WECC,"Islanding, Uncontrolled Loss 300+ MW",System Operations,,Unknown
2016,July,07/21/2016,19:21,07/22/2016,00:09,Puerto Rico,PR,"Load Shed 100+ MW, Voltage Reduction",System Operations,,
2016,July,07/21/2016,06:18,07/21/2016,14:45,Delaware: New Castle County,RFC,Suspected Physical Attack,Suspicious Activity,,
2016,July,07/22/2016,23:50,07/23/2016,09:10,Massachusetts: Connecticut: Rhode Island: New Hampshire: Vermont: Maine,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,July,07/23/2016,15:15,07/23/2016,19:53,Pennsylvania: Cambria County,RFC,Voltage Reduction,System Operations,,Unknown
2016,July,07/23/2016,19:30,07/24/2016,07:30,Connecticut: Massachusetts: New Hampshire: Vermont: Rhode Island,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,July,07/25/2016,18:51,07/26/2016,02:19,Puerto Rico,PR,Voltage Reduction,System Operations,,
2016,July,07/26/2016,18:51,07/27/2016,01:45,Puerto Rico,PR,Voltage Reduction,System Operations,,
2016,July,07/27/2016,18:50,07/28/2016,01:38,Puerto Rico,PR,Voltage Reduction,System Operations,,
2016,July,07/28/2016,18:51,07/29/2016,02:02,Puerto Rico,PR,Voltage Reduction,System Operations,,
2016,July,07/29/2016,19:09,07/29/2016,19:57,Puerto Rico,PR,Voltage Reduction,System Operations,,
2016,August,08/04/2016,14:15,08/04/2016,14:23,Delaware: New Castle County;,RFC,Suspected Physical Attack,Vandalism,,
2016,August,08/07/2016,18:39,08/07/2016,20:27,New Mexico: Bernalillo County;,WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,System Operations,Unknown,Unknown
2016,August,08/10/2016,06:00,Unknown,Unknown,California: Butte County;,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,,
2016,August,08/11/2016,16:30,08/11/2016,19:15,Ohio:,RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,August,08/13/2016,11:42,08/13/2016,14:07,South Carolina:,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,System Operations,,
2016,August,08/20/2016,14:18,08/20/2016,21:19,New York:,NPCC,Actual Physical Attack,Actual Physical Event,Unknown,
2016,August,08/23/2016,17:00,08/24/2016,00:05,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,August,08/24/2016,18:13,08/24/2016,19:14,Puerto Rico:,PR,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,System Operations,,
2016,August,08/24/2016,19:18,08/24/2016,19:47,Washington: King County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Islanding,,Unknown
2016,August,08/25/2016,18:40,08/26/2016,18:19,Oregon: Crook County;,WECC,  Suspected Physical Attack,Vandalism,,
2016,August,08/31/2016,09:45,08/31/2016,09:55,Colorado:,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Transmission Interruption,,
2016,August,08/31/2016,14:52,Unknown,Unknown,Washington: Clark County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Islanding,,
2016,September,09/01/2016,22:00,Unknown,Unknown,Florida:,FRCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,,Unknown
2016,September,09/02/2016,00:40,09/04/2016,20:00,"Florida: Leon County, Wakulla County;",FRCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,,
2016,September,09/02/2016,04:00,09/02/2016,16:00,"Florida: Alachua County, Bay County, Citrus County, Columbia County, Dixie County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Suwannee County, Taylor County, Volusia County, Wakulla County;",FRCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,,
2016,September,09/02/2016,05:45,09/03/2016,00:30,Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,September,09/06/2016,18:12,09/06/2016,21:24,Washington: Clark County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Islanding,,Unknown
2016,September,09/08/2016,08:30,09/25/2016,00:00,New York: Tompkins County;,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,,Unknown
2016,September,09/08/2016,14:49,09/08/2016,15:03,Washington:,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Islanding,,
2016,September,09/10/2016,09:42,09/10/2016,09:57,Washington: Clark County;,WECC,Load shedding of 100 Megawatts or more implemented under emergency operational policy,Generation Inadequacy,,Unknown
2016,September,09/11/2016,12:05,09/11/2016,15:10,Connecticut: Massachusetts: New Hampshire: Rhode Island: Vermont: Maine:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,
2016,September,09/12/2016,12:30,09/12/2016,17:56,"New Mexico: Bernalillo County, Sandoval County, Santa Fe County, Valencia County;",WECC,Load shedding of 100 Megawatts or more implemented under emergency operational policy,Generation Inadequacy,,
2016,September,09/21/2016,14:30,09/24/2016,02:30,Puerto Rico:,,Complete operational failure or shut-down of the transmission and/or distribution electrical system,System Operations,,
2016,September,09/21/2016,19:44,09/21/2016,21:17,Texas: Lubbock County;,TRE,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Event,,
2016,September,09/22/2016,10:56,09/22/2016,11:41,Iowa: Black Hawk County;,MRO,Complete operational failure or shut-down of the transmission and/or distribution electrical system,System Operations,,
2016,September,09/25/2016,12:49,09/25/2016,18:20,"Utah: Kane County, Garfield County; Arizona: Coconino County, Mohave County",WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,,
2016,October,10/01/2016,12:24,10/02/2016,02:04,California: Mendocino County;,WECC,Physical attack that causes major interruptions or impacts to critical infrastructure facilities or to operations,Actual Physical Event,,
2016,October,10/02/2016,23:30,10/05/2016,08:00,Utah:,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Transmission Interruption,,
2016,October,10/03/2016,15:09,10/04/2016,19:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Public Appeal,Unknown,Unknown
2016,October,10/05/2016,11:32,10/05/2016,19:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Public Appeal,Unknown,Unknown
2016,October,10/05/2016,15:51,Unknown,Unknown,California: Imperial County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,,
2016,October,10/06/2016,09:50,10/06/2016,19:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Public Appeal,Unknown,Unknown
2016,October,10/06/2016,19:30,10/08/2016,18:00,Florida:,FRCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,,
2016,October,10/07/2016,08:00,10/09/2016,13:00,"Florida: Alachua County, Bay County, Citrus County, Columbia County, Dixie County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Suwannee County, Taylor County, Volusia County, Wakulla County;",FRCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,,
2016,October,10/07/2016,11:08,10/07/2016,19:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Generation Inadequacy,Unknown,Unknown
2016,October,10/07/2016,16:22,10/12/2016,11:00,Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,,
2016,October,10/07/2016,22:45,Unknown,Unknown,Florida:,FRCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,Unknown
2016,October,10/07/2016,23:00,Unknown,Unknown,"South Carolina: Allendale County, Bamberg County, Beaufort County, Berkeley County, Charleston County, Chesterfield County, Clarendon County, Colleton County, Darlington County, Dorchester County, Florence County, Georgetown County, Hampton County, Horry County, Jasper County, Kershaw County, Lee County, Marion County, Marlboro County, Orangeburg County, Richland County, Sumter County, Williamsburg County;",SERC,"Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident
Loss of electric service to more than 50,000 customers for 1 hour or more
",Severe Weather,Unknown,Unknown
2016,October,10/08/2016,08:21,10/13/2016,17:30,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,Unknown
2016,October,10/08/2016,14:05,10/09/2016,06:06,North Carolina:,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,Severe Weather,Unknown,
2016,October,10/08/2016,01:10,Unknown,Unknown,South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,,
2016,October,10/10/2016,13:15,10/10/2016,19:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Generation Inadequacy,Unknown,Unknown
2016,October,10/12/2016,12:09,10/12/2016,13:16,Nevada: Clark County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,,
2016,October,10/18/2016,14:06,10/21/2016,15:00,"Oregon: Deschutes County, Lake County;",WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,,
2016,October,10/20/2016,12:30,10/20/2016,12:31,Oregon:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,,
2016,October,10/25/2016,07:40,10/27/2016,07:40,Tennessee: Shelby County;,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,,
2016,October,10/26/2016,05:26,10/26/2016,05:27,Wyoming: Sweetwater County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,,
2016,October,10/28/2016,13:29,10/28/2016,13:38,California: Plumas County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Islanding,,
2016,October,10/31/2016,08:06,10/31/2016,15:53,North Carolina: Stokes County;,SERC,Physical attack that causes major interruptions or impacts to critical infrastructure facilities or to operations,Actual Physical Event,,
2016,November,11/09/2016,11:59,11/09/2016,18:15,"California: Stanislaus County, San Joaquin County, Alameda County, Tuolumne County;",WECC,Cyber event that could potentially impact electric power system adequacy or reliability,Cyber Attack,,
2016,November,11/09/2016,06:44,11/09/2016,07:44,California:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,,
2016,November,11/01/2016,20:55,Unknown,Unknown,Washington: Clark County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Transmission Interruption,,
2016,December,12/08/2016,01:00,12/08/2016,02:30,Oregon: Multnomah County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,,
2016,December,12/11/2016,07:45,12/11/2016,07:46,Utah: Utah County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,,
2016,December,12/13/2016,14:09,12/13/2016,14:30,California: Riverside County;,WECC,Cyber event that could potentially impact electric power system adequacy or reliability,Cyber Event,,
2016,December,12/15/2016,06:30,Unknown,Unknown,California: Merced County;,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,Unknown,Unknown
2016,December,12/16/2016,07:45,12/16/2016,08:45,Oregon: Multnomah County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,,
2016,December,12/26/2016,04:00,12/26/2016,06:00,Washington:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,,
2016,December,12/28/2016,04:03,12/31/2016,06:00,California:,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,,
2016,December,12/30/2016,08:55,12/30/2016,08:56,Vermont: Chittenden County;,NPCC,Cyber event that could potentially impact electric power system adequacy or reliability,Other,,
2016,December,12/30/2016,02:30,12/30/2016,19:00,Maine:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather or Natural Disaster,Unknown,
2018,January ,01/01/2018,18:21,01/02/2018,18:11,Tennessee:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,Unknown,Unknown
2018,January,01/01/2018,17:43,Unknown,Unknown,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,Unknown,Unknown
2018,January,01/01/2018,21:37,01/02/2018,10:30,Tennessee:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,System Operations,Unknown,Unknown
2018,January,01/02/2018,10:00,02/12/2018,08:00,New York: Niagara County;,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,675,Unknown
2018,January,01/02/2018,07:30,Unknown,Unknown,South Carolina:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,0,717000
2018,January,01/02/2018,06:45,01/02/2018,09:00,North Carolina: South Carolina:,SERC,System-wide voltage reductions of 3 percent or more,Severe Weather,14998,Unknown
2018,January,01/04/2018,01:49,01/04/2018,02:09,Texas: Midland County;,TRE,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack,Unknown,500
2018,January,01/12/2018,13:08,01/12/2018,14:53,"Michigan: Midland County, Genesee County;",RF,Cyber event that causes interruptions of electrical system operations,System Operations,41,23007
2018,January,01/15/2018,04:20,01/18/2018,05:48,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,Unknown,Unknown
2018,January,01/16/2018,15:00,01/18/2018,13:00,Tennessee:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,Unknown,Unknown
2018,January,01/16/2018,15:00,01/18/2018,13:00,Tennessee: Shelby County;,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,System Operations,Unknown,Unknown
2018,January,01/16/2018,13:57,01/16/2018,14:32,Texas:,TRE,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather,Unknown,Unknown
2018,January,01/17/2018,05:10,01/17/2018,13:00,Mississippi:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,System Operations,1788,420000
2018,January,01/17/2018,06:10,01/17/2018,14:00,Louisiana:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,System Operations,Unknown,Unknown
2018,January,01/18/2018,05:00,01/18/2018,11:00,Arkansas: Mississippi: Louisiana: Texas:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,31500,Unknown
2018,January,01/18/2018,05:00,01/18/2018,09:45,Mississippi:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,System Operations,1760,420000
2018,January,01/18/2018,06:00,Unknown,Unknown,Louisiana:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,System Operations,Unknown,Unknown
2018,January,01/25/2018,20:19,01/26/2018,02:00,Pennsylvania: Montgomery County;,RF,Cyber event that could potentially impact electric power system adequacy or reliability,Suspicious Activity,Unknown,Unknown
2018,February,02/04/2018,13:42,02/04/2018,15:25,California:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,9760,0
2018,February,02/08/2018,13:25,02/08/2018,13:31,California:,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,30,10900
2018,February,02/17/2018,16:33,02/18/2018,00:00,Oregon: Washington: California:,WECC,Physical attack that causes major interruptions or impacts to critical infrastructure facilities or to operations,Vandalism,2330,0
2018,February,02/17/2018,17:56,02/18/2018,04:11,Oregon: Washington: California:,WECC,Physical attack that causes major interruptions or impacts to critical infrastructure facilities or to operations,Vandalism,2327,0
2018,February,02/28/2018,12:08,03/01/2018,15:45,Florida:,FRCC,Cyber event that could potentially impact electric power system adequacy or reliability,System Operations,0,0
2018,February,02/28/2018,12:08,03/01/2018,15:45,Florida:,FRCC,Cyber event that could potentially impact electric power system adequacy or reliability,System Operations,0,0
2018,March,03/01/2018,11:43,03/01/2018,11:56,California:,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather,38,10898
2018,March,03/01/2018,21:57,03/02/2018,10:14,Ohio:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,86501
2018,March,03/01/2018,22:20,03/04/2018,20:00,"Michigan: Wayne County, Washtenaw County, Oakland County, Macomb County, Monroe County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,95000
2018,March,03/02/2018,17:00,03/06/2018,11:00,Delaware: Maryland:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,60000
2018,March,03/02/2018,23:17,03/03/2018,00:51,Washington: Clark County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
2018,March,03/02/2018,15:10,03/06/2018,04:57,Ohio:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,249322
2018,March,03/02/2018,11:34,Unknown,Unknown,New York:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,50000
2018,March,03/02/2018,15:46,03/04/2018,19:46,"New York: New York County, Westchester County;",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,72353
2018,March,03/02/2018,13:51,03/05/2018,13:18,Connecticut: Massachusetts: Rhode Island:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,325000
2018,March,03/02/2018,13:51,03/04/2018,12:11,Pennsylvania:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,233136
2018,March,03/02/2018,11:58,Unknown,Unknown,"Pennsylvania: Berks County, Bucks County, Carbon County, Chester County, Clinton County, Columbia County, Cumberland County, Dauphin County, Juniata County, Lackawanna County, Lancaster County, Lebanon County, Lehigh County, Luzerne County, Lycoming County, Monroe County, Montgomery County, Montour County, Northampton County, Northumberland County, Pike County, Schuylkill County, Snyder County;",RF,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather,Unknown,126000
2018,March,03/02/2018,12:00,03/05/2018,00:00,Pennsylvania:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,630000
2018,March,03/02/2018,07:00,Unknown,Unknown,"New York: Dutchess County, Orange County, Greene County, Ulster County, Putnam County, Sullivan County, Albany County, Columbia County;",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,90000
2018,March,03/02/2018,12:00,Unknown,Unknown,Maryland:,RF,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Severe Weather,670,474019
2018,March,03/02/2018,08:42,Unknown,Unknown,New York:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,63331
2018,March,03/02/2018,08:00,03/03/2018,23:00,Virginia: West Virginia:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,65198
2018,March,03/07/2018,16:10,03/10/2018,11:32,New Jersey:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,216800
2018,March,03/07/2018,17:15,Unknown,Unknown,New Jersey:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,50,58000
2018,March,03/07/2018,12:00,03/07/2018,17:00,Pennsylvania:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,120000
2018,March,03/07/2018,19:37,03/10/2018,16:35,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,102000
2018,March,03/12/2018,00:00,04/06/2018,11:00,New York: Dutchess County;,NPCC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
2018,March,03/13/2018,08:50,03/14/2018,23:22,Massachusetts: Rhode Island:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,123629
2018,March,03/13/2018,00:10,03/13/2018,00:34,Colorado:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,0,0
2018,March,03/19/2018,23:29,03/20/2018,03:37,Alabama: Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,261,78220
2018,March,03/20/2018,19:00,03/25/2018,06:30,"New Jersey: Atlantic County, Camden County, Cape May County, Gloucester County, Salem County, Cumberland County, Burlington County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,80,124000
